,links,title,content,time,class
96,https://nltimes.nl/2022/12/24/two-dead-single-car-crash-oosterwolde-driver-injured,"Two dead after single car crash in Oosterwolde, driver injured","In the night from Friday to Saturday, a serious traffic accident occurred near Oosterwolde. On the Weper (N919), a car hit a tree in a curve for unknown reasons. After the impact, the car came to a halt a few meters away and two occupants died as a result of their injuries. The driver was taken to a hospital. According to the police, the single car crash occurred around 00:10 a.m. The two occupants of the car, a 27-year-old man from Steenwijkerland and a 26-year-old man from Veendam were pronounced dead at the scene as the result of injuries suffered in the accident. The driver, a 32-year-old man from Oosterwolde, was injured and taken to a hospital.Police is currently investigating the cause of the accident.",24 December 2022 - 11:00,One-one-two
98,https://nltimes.nl/2022/12/24/new-unit-250-marechaussees-personal-protection-ministers-judges,New unit of 250 Marechaussees for personal protection of ministers and judges,"250 personnel from the Marechaussee, the branch of the Dutch military that handles border security and other police duties, are to protect more people in the public political sector in the future. The new unit will now also focus on personal security of ministers, judges, public prosecutors and lawyers. The extended protection came about because the Marechaussee was under pressure as more and more people needed to be secured.
This is because threats from terrorist circles, which the Marechaussee say have always existed, were joined by threats from criminal circles, they told KMarMagazine. In addition, increasing unrest in society, for example in connection with Covid-19 and the farmers protests, and a general hardening in society also play a role. Furthermore, the unit can also be deployed abroad if necessary.Currently, the Royal and Diplomatic Security Service of the National Police is still mainly responsible for personal protection at home. The first group of this new unit will begin training in January and will consist of members of the military police themselves. The goal is to train a total of five classes in 2024 and 2025.For this purpose, the Ministry of Justice and Security has earmarked millions of euros for the National Police, the Public Prosecution Service, the NCTV and the Marechaussee to further strengthen the Surveillance and Security system.",24 December 2022 - 10:01,Politics
100,https://nltimes.nl/2022/12/24/independent-npo-committee-will-include-nos-sport-investigations,Independent NPO committee will include NOS Sport in investigations,"The Omroep Gedrag en Cultuur Onderzoekcommissie (OGCO), which investigates work culture at public tv station NPO, will also include the new reports of alleged misconduct at NOS Sport in its investigation, said a spokesperson on Friday.De Volkskrant wrote on Thursday evening that NOS Sport employees have reported unacceptable behavior in the workplace for 15 years. This concerned ""sexually transgressive behavior, intimidation and bullying.""
Moreover, the newspaper reported, based on sources, that insufficient action was allegedly taken by management.""The investigation covers all relevant organizations and bodies of the national public media service,"" a spokesperson said. ""This also includes NOS Sport."" In general, the investigation includes the Board of Directors of the NPO, the board of broadcasters, the NPO, all broadcasters and service organizations and associations.The committee, led by former Minister Martin van Rijn, will investigate the work culture within the NPO over the next six months. The committee was set up in response to the Volkskrant's publication about alleged abuses in the editorial department of De Wereld Draait Door. Furthermore, former 3FM DJ Sjors Fröhlich, who is now mayor of Vijfheerenlanden in Utrecht, will also be a member of the committee.NOS announced Thursday evening that it would not respond to the revelations in de Volkskrant. The public broadcast previously said that several reports of incidents had been received by the editors of NOS Sport.An external confidential advisor is now taking stock of ""the nature and impact of the signals."" The NOS will then decide whether further steps are needed and whether those steps should be communicated.",24 December 2022 - 09:26,Business
101,https://nltimes.nl/2022/12/24/independent-npo-committee-will-include-nos-sport-investigations,Independent NPO committee will include NOS Sport in investigations,"The Omroep Gedrag en Cultuur Onderzoekcommissie (OGCO), which investigates work culture at public tv station NPO, will also include the new reports of alleged misconduct at NOS Sport in its investigation, said a spokesperson on Friday.De Volkskrant wrote on Thursday evening that NOS Sport employees have reported unacceptable behavior in the workplace for 15 years. This concerned ""sexually transgressive behavior, intimidation and bullying.""
Moreover, the newspaper reported, based on sources, that insufficient action was allegedly taken by management.""The investigation covers all relevant organizations and bodies of the national public media service,"" a spokesperson said. ""This also includes NOS Sport."" In general, the investigation includes the Board of Directors of the NPO, the board of broadcasters, the NPO, all broadcasters and service organizations and associations.The committee, led by former Minister Martin van Rijn, will investigate the work culture within the NPO over the next six months. The committee was set up in response to the Volkskrant's publication about alleged abuses in the editorial department of De Wereld Draait Door. Furthermore, former 3FM DJ Sjors Fröhlich, who is now mayor of Vijfheerenlanden in Utrecht, will also be a member of the committee.NOS announced Thursday evening that it would not respond to the revelations in de Volkskrant. The public broadcast previously said that several reports of incidents had been received by the editors of NOS Sport.An external confidential advisor is now taking stock of ""the nature and impact of the signals."" The NOS will then decide whether further steps are needed and whether those steps should be communicated.",24 December 2022 - 09:26,Culture
102,https://nltimes.nl/2022/12/24/independent-npo-committee-will-include-nos-sport-investigations,Independent NPO committee will include NOS Sport in investigations,"The Omroep Gedrag en Cultuur Onderzoekcommissie (OGCO), which investigates work culture at public tv station NPO, will also include the new reports of alleged misconduct at NOS Sport in its investigation, said a spokesperson on Friday.De Volkskrant wrote on Thursday evening that NOS Sport employees have reported unacceptable behavior in the workplace for 15 years. This concerned ""sexually transgressive behavior, intimidation and bullying.""
Moreover, the newspaper reported, based on sources, that insufficient action was allegedly taken by management.""The investigation covers all relevant organizations and bodies of the national public media service,"" a spokesperson said. ""This also includes NOS Sport."" In general, the investigation includes the Board of Directors of the NPO, the board of broadcasters, the NPO, all broadcasters and service organizations and associations.The committee, led by former Minister Martin van Rijn, will investigate the work culture within the NPO over the next six months. The committee was set up in response to the Volkskrant's publication about alleged abuses in the editorial department of De Wereld Draait Door. Furthermore, former 3FM DJ Sjors Fröhlich, who is now mayor of Vijfheerenlanden in Utrecht, will also be a member of the committee.NOS announced Thursday evening that it would not respond to the revelations in de Volkskrant. The public broadcast previously said that several reports of incidents had been received by the editors of NOS Sport.An external confidential advisor is now taking stock of ""the nature and impact of the signals."" The NOS will then decide whether further steps are needed and whether those steps should be communicated.",24 December 2022 - 09:26,Entertainment
104,https://nltimes.nl/2022/12/24/new-record-2022-sunniest-year-netherlands,New record: 2022 is sunniest year in the Netherlands,"The year 2022 was a record-breaking sunny year for the Netherlands, according to Weeronline. For the first time, the limit of 2200 hours of sunshine per year was exceeded. The total number of sunshine hours, including the forecast for the last days of the year, is expected to reach about 2230. The old record dates back to 2003 and was 2099.5 hours. On average, the sun shone for 1773 hours nationwide.It was also the first time that the sun shone for at least 2,000 hours across the country. The least sunny was in Eelde in Drenthe, where about 2050 sunshine hours were measured.The old record here stood at 2041 hours. In Den Helder in Noord-Holland, the sun shone extremely often, nearly 2,400 hours compared to an average of 1,888 hours. ""That means that the sun in the northwest of the country shone 500 hours, or 26 percent more than usual,"" the weather service said.Despite the record number of hours of sunshine in 2022, not all months of the year were that sunny. January, for instance, was gloomier than usual, reported Weeronline. In spring however, the months of March and August contributed significantly to this year's record, with 245 and 289 hours of sunshine, respectively, while 141 and 205 hours are normal.",24 December 2022 - 08:38,Tech
105,https://nltimes.nl/2022/12/24/new-record-2022-sunniest-year-netherlands,New record: 2022 is sunniest year in the Netherlands,"The year 2022 was a record-breaking sunny year for the Netherlands, according to Weeronline. For the first time, the limit of 2200 hours of sunshine per year was exceeded. The total number of sunshine hours, including the forecast for the last days of the year, is expected to reach about 2230. The old record dates back to 2003 and was 2099.5 hours. On average, the sun shone for 1773 hours nationwide.It was also the first time that the sun shone for at least 2,000 hours across the country. The least sunny was in Eelde in Drenthe, where about 2050 sunshine hours were measured.The old record here stood at 2041 hours. In Den Helder in Noord-Holland, the sun shone extremely often, nearly 2,400 hours compared to an average of 1,888 hours. ""That means that the sun in the northwest of the country shone 500 hours, or 26 percent more than usual,"" the weather service said.Despite the record number of hours of sunshine in 2022, not all months of the year were that sunny. January, for instance, was gloomier than usual, reported Weeronline. In spring however, the months of March and August contributed significantly to this year's record, with 245 and 289 hours of sunshine, respectively, while 141 and 205 hours are normal.",24 December 2022 - 08:38,Nature
107,https://nltimes.nl/2022/12/24/self-employed-people-can-benefit-greatly-new-pension-law-says-knab-bank,"Self-employed people can benefit greatly from new pension law, says Knab Bank","The pension system overhaul that passed the Tweede Kamer on Thursday night may prove to be highly advantageous for self-employed people and freelancers working in the Netherlands. A wide majority in the Tweede Kamer supported the law, which is meant to modernize the country’s pension system by making it more flexible and more accessible to all adults from the age of 18, while making it easier to accrue a pension almost immediately when starting work.The law will almost certainly help the 1.2 million people who are registered as self-employed with the Dutch Chamber of Commerce. If the bill passes the Eerste Kamer, the upper House of Parliament, it will mean self-employed people can put more money into their personal pension holdings every year with more tax advantages.Self-employed people will be able to earmark a maximum of 30 percent of their profits before paying income tax into their pension. Currently, they can put 13.3 percent of the money earned annually into their pension without paying income tax on the contribution.It means that those whose income place them in the upper tax brackets can contribute 10,000 euros into their pension, but will effectively pay 5,050 euros net to do so because of the tax breaks received, said Oskar Barendse from Knab Bank. “It doesn’t get any cheaper than that. The only condition is that you invest in a third pillar product, like pension savings, investments, or annuity insurance,” he said.Additionally, Barendse noted that pension funds will be able to take on self-employed people with no employees as clients when the new law passes the Eerste Kamer and takes effect in the Netherlands. Already, about a third of self-employed people are expected to save with a pension fund if they gain access to them, Barendse said based on internal research from Knab. “Whether this is wise is highly questionable. Much is still unclear about this part of the plan, as such a fund is often more expensive than if you yourself invest in a pension savings account, for example.”The Tweede Kamer spent dozens of hours debating the complex bill in the run-up to the vote, including separate votes on dozens of amendments earlier in the week. The bill creates a foundation for a new way of handling the national pension assets of about 1.5 trillion euros, which will no longer be handled collectively, but in more individual funds.The new system is meant to be more protective of how people engage in work now, which is often more flexible and changing over the course of a career than in the past. At the same time, the new system may introduce more risk.The ruling coalition parties voted in favor of the law in a roll call vote in the Tweede Kamer, along with left-wing opposition parties GroenLinks and PvdA. Although SGP and Volt also signed on, the left-wing parties will be critical in winning passage in the Eerste Kamer, where the coalition does not have a majority.The composition of the Eerste Kamer will also change next year as it is determined by the results of the provincial elections in May. For that reason, the Cabinet will want to see the bill taken up more quickly after the Christmas and New Year’s recess. Three of the parties in the coalition, VVD, D66 and CDA, are polling much worse now than just after the last Tweede Kamer election in March 2021.",24 December 2022 - 08:15,Politics
108,https://nltimes.nl/2022/12/24/self-employed-people-can-benefit-greatly-new-pension-law-says-knab-bank,"Self-employed people can benefit greatly from new pension law, says Knab Bank","The pension system overhaul that passed the Tweede Kamer on Thursday night may prove to be highly advantageous for self-employed people and freelancers working in the Netherlands. A wide majority in the Tweede Kamer supported the law, which is meant to modernize the country’s pension system by making it more flexible and more accessible to all adults from the age of 18, while making it easier to accrue a pension almost immediately when starting work.The law will almost certainly help the 1.2 million people who are registered as self-employed with the Dutch Chamber of Commerce. If the bill passes the Eerste Kamer, the upper House of Parliament, it will mean self-employed people can put more money into their personal pension holdings every year with more tax advantages.Self-employed people will be able to earmark a maximum of 30 percent of their profits before paying income tax into their pension. Currently, they can put 13.3 percent of the money earned annually into their pension without paying income tax on the contribution.It means that those whose income place them in the upper tax brackets can contribute 10,000 euros into their pension, but will effectively pay 5,050 euros net to do so because of the tax breaks received, said Oskar Barendse from Knab Bank. “It doesn’t get any cheaper than that. The only condition is that you invest in a third pillar product, like pension savings, investments, or annuity insurance,” he said.Additionally, Barendse noted that pension funds will be able to take on self-employed people with no employees as clients when the new law passes the Eerste Kamer and takes effect in the Netherlands. Already, about a third of self-employed people are expected to save with a pension fund if they gain access to them, Barendse said based on internal research from Knab. “Whether this is wise is highly questionable. Much is still unclear about this part of the plan, as such a fund is often more expensive than if you yourself invest in a pension savings account, for example.”The Tweede Kamer spent dozens of hours debating the complex bill in the run-up to the vote, including separate votes on dozens of amendments earlier in the week. The bill creates a foundation for a new way of handling the national pension assets of about 1.5 trillion euros, which will no longer be handled collectively, but in more individual funds.The new system is meant to be more protective of how people engage in work now, which is often more flexible and changing over the course of a career than in the past. At the same time, the new system may introduce more risk.The ruling coalition parties voted in favor of the law in a roll call vote in the Tweede Kamer, along with left-wing opposition parties GroenLinks and PvdA. Although SGP and Volt also signed on, the left-wing parties will be critical in winning passage in the Eerste Kamer, where the coalition does not have a majority.The composition of the Eerste Kamer will also change next year as it is determined by the results of the provincial elections in May. For that reason, the Cabinet will want to see the bill taken up more quickly after the Christmas and New Year’s recess. Three of the parties in the coalition, VVD, D66 and CDA, are polling much worse now than just after the last Tweede Kamer election in March 2021.",24 December 2022 - 08:15,Business
110,https://nltimes.nl/2022/12/24/salmonella-may-increase-risk-colon-cancer-research-shows,"Salmonella may increase risk of colon cancer, research shows","Infections with the salmonella bacteria can increase the risk of colon cancer, suspect researchers from Leiden University Medical Center (LUMC) and the University of Illinois Chicago. They found that people with colon cancer were more likely to have had mild salmonella infections.The salmonella bacteria can cause abdominal complaints such as diarrhoea, nausea and vomiting. These complaints usually pass after a few days. Every year, 153 million people worldwide get such a mild infection with salmonella.The link between more serious forms of salmonella, such as the variant that causes typhoid, and an increased risk of cancer had already been demonstrated, the researchers explained. But several mild infections, which people hardly notice, can also contribute to the development of cancer. Repeated mild infections makes it more likely that bacteria can enter and manipulate cells.""We also found that several mild infections increased the growth rate of these intestinal tumors,"" said Jacque Neefjes, a professor of chemical immunology at Leiden University.It is difficult to completely avoid salmonella infections because they are common in livestock and food, explained Professor Jun Sun from the University of Illinois Chicago. ""However, exposure to the bacteria can be reduced by good hygiene practices when handling and preparing food.""The study was published in the scientific journal Cell Reports Medicine.",24 December 2022 - 07:45,Tech
111,https://nltimes.nl/2022/12/24/salmonella-may-increase-risk-colon-cancer-research-shows,"Salmonella may increase risk of colon cancer, research shows","Infections with the salmonella bacteria can increase the risk of colon cancer, suspect researchers from Leiden University Medical Center (LUMC) and the University of Illinois Chicago. They found that people with colon cancer were more likely to have had mild salmonella infections.The salmonella bacteria can cause abdominal complaints such as diarrhoea, nausea and vomiting. These complaints usually pass after a few days. Every year, 153 million people worldwide get such a mild infection with salmonella.The link between more serious forms of salmonella, such as the variant that causes typhoid, and an increased risk of cancer had already been demonstrated, the researchers explained. But several mild infections, which people hardly notice, can also contribute to the development of cancer. Repeated mild infections makes it more likely that bacteria can enter and manipulate cells.""We also found that several mild infections increased the growth rate of these intestinal tumors,"" said Jacque Neefjes, a professor of chemical immunology at Leiden University.It is difficult to completely avoid salmonella infections because they are common in livestock and food, explained Professor Jun Sun from the University of Illinois Chicago. ""However, exposure to the bacteria can be reduced by good hygiene practices when handling and preparing food.""The study was published in the scientific journal Cell Reports Medicine.",24 December 2022 - 07:45,Nature
113,https://nltimes.nl/2022/12/24/2-million-fewer-museum-visitors-2021-compared-2020, Over 2 million fewer museum visitors in 2021 compared to 2020,"Dutch museums saw a further decline in visitor numbers last year, partly due to coronavirus lockdown measures. In 2021, museums attracted 12.3 million visitors, a fall of more than 2 million than a year earlier, the Central Bureau of Statistics (CBS) calculated. Compared to 2019, when Covid-19 first appeared in December, attendance was down 64 percent.Museums were closed for months in most cases due to pandemic restrictions at the beginning and end of 2021. Even when the institutions were allowed to welcome visitors again, measures such as a maximum number of visitors per square meter were in place. Some museums, in the meantime, participated in a trial of COVID-19 Rapid Antigen Tests that allowed them to open earlier, but that involved only a handful of institutions, CBS said.The biggest decline was seen last year among museum-goers from abroad. Whereas in 2019 there were still 10.3 million, in 2021 it was 1.5 million foreign visitors, a drop of more than 85 percent. CBS noted that since the Covid-19 pandemic outbreak, fewer elderly and disabled people have visited museums.As a result of the drop in visitors, museums again suffered significant losses in audience revenue. Last year's total was nearly 99 million, a drop of more than 60 percent compared to 2019. Thanks to government support, most museums ended their fiscal year in the black, according to CBS. In 2021, funding measures totaled more than 145 million euros, in addition to 156 million euros in donations and other private money. In both cases, this was an increase compared to the previous year.",24 December 2022 - 07:14,Business
114,https://nltimes.nl/2022/12/24/2-million-fewer-museum-visitors-2021-compared-2020, Over 2 million fewer museum visitors in 2021 compared to 2020,"Dutch museums saw a further decline in visitor numbers last year, partly due to coronavirus lockdown measures. In 2021, museums attracted 12.3 million visitors, a fall of more than 2 million than a year earlier, the Central Bureau of Statistics (CBS) calculated. Compared to 2019, when Covid-19 first appeared in December, attendance was down 64 percent.Museums were closed for months in most cases due to pandemic restrictions at the beginning and end of 2021. Even when the institutions were allowed to welcome visitors again, measures such as a maximum number of visitors per square meter were in place. Some museums, in the meantime, participated in a trial of COVID-19 Rapid Antigen Tests that allowed them to open earlier, but that involved only a handful of institutions, CBS said.The biggest decline was seen last year among museum-goers from abroad. Whereas in 2019 there were still 10.3 million, in 2021 it was 1.5 million foreign visitors, a drop of more than 85 percent. CBS noted that since the Covid-19 pandemic outbreak, fewer elderly and disabled people have visited museums.As a result of the drop in visitors, museums again suffered significant losses in audience revenue. Last year's total was nearly 99 million, a drop of more than 60 percent compared to 2019. Thanks to government support, most museums ended their fiscal year in the black, according to CBS. In 2021, funding measures totaled more than 145 million euros, in addition to 156 million euros in donations and other private money. In both cases, this was an increase compared to the previous year.",24 December 2022 - 07:14,Culture
115,https://nltimes.nl/2022/12/24/2-million-fewer-museum-visitors-2021-compared-2020, Over 2 million fewer museum visitors in 2021 compared to 2020,"Dutch museums saw a further decline in visitor numbers last year, partly due to coronavirus lockdown measures. In 2021, museums attracted 12.3 million visitors, a fall of more than 2 million than a year earlier, the Central Bureau of Statistics (CBS) calculated. Compared to 2019, when Covid-19 first appeared in December, attendance was down 64 percent.Museums were closed for months in most cases due to pandemic restrictions at the beginning and end of 2021. Even when the institutions were allowed to welcome visitors again, measures such as a maximum number of visitors per square meter were in place. Some museums, in the meantime, participated in a trial of COVID-19 Rapid Antigen Tests that allowed them to open earlier, but that involved only a handful of institutions, CBS said.The biggest decline was seen last year among museum-goers from abroad. Whereas in 2019 there were still 10.3 million, in 2021 it was 1.5 million foreign visitors, a drop of more than 85 percent. CBS noted that since the Covid-19 pandemic outbreak, fewer elderly and disabled people have visited museums.As a result of the drop in visitors, museums again suffered significant losses in audience revenue. Last year's total was nearly 99 million, a drop of more than 60 percent compared to 2019. Thanks to government support, most museums ended their fiscal year in the black, according to CBS. In 2021, funding measures totaled more than 145 million euros, in addition to 156 million euros in donations and other private money. In both cases, this was an increase compared to the previous year.",24 December 2022 - 07:14,Art
116,https://nltimes.nl/2022/12/24/2-million-fewer-museum-visitors-2021-compared-2020, Over 2 million fewer museum visitors in 2021 compared to 2020,"Dutch museums saw a further decline in visitor numbers last year, partly due to coronavirus lockdown measures. In 2021, museums attracted 12.3 million visitors, a fall of more than 2 million than a year earlier, the Central Bureau of Statistics (CBS) calculated. Compared to 2019, when Covid-19 first appeared in December, attendance was down 64 percent.Museums were closed for months in most cases due to pandemic restrictions at the beginning and end of 2021. Even when the institutions were allowed to welcome visitors again, measures such as a maximum number of visitors per square meter were in place. Some museums, in the meantime, participated in a trial of COVID-19 Rapid Antigen Tests that allowed them to open earlier, but that involved only a handful of institutions, CBS said.The biggest decline was seen last year among museum-goers from abroad. Whereas in 2019 there were still 10.3 million, in 2021 it was 1.5 million foreign visitors, a drop of more than 85 percent. CBS noted that since the Covid-19 pandemic outbreak, fewer elderly and disabled people have visited museums.As a result of the drop in visitors, museums again suffered significant losses in audience revenue. Last year's total was nearly 99 million, a drop of more than 60 percent compared to 2019. Thanks to government support, most museums ended their fiscal year in the black, according to CBS. In 2021, funding measures totaled more than 145 million euros, in addition to 156 million euros in donations and other private money. In both cases, this was an increase compared to the previous year.",24 December 2022 - 07:14,Lifestyle
118,https://nltimes.nl/2022/12/23/woman-loses-part-hand-due-illegal-firework-thrown-home,Woman loses part of her hand due to illegal firework thrown in her home,"A woman from Hengelo has lost a large part of her hand after an explosive, possibly a Cobra firework, was thrown through her bedroom window. The police report Friday that she also suffered injuries to her face and chest when the heavy explosive detonated a month ago.The 30-year-old victim went to check the bedroom of her house in Egbertstraat around 10:45 p.m. on November 22, after hearing a noise. There she found a broken window and the explosive on the bed.When she picked it up and tried to throw it out through the broken window, the illegal firework exploded. She was so badly injured that she had to undergo multiple operations, and subsequently spent weeks in the hospital.The police are looking for a group of boys who were walking in the area that evening. ""They may have important information about this event,"" said the police.",23 December 2022 - 18:45,Crime
120,https://nltimes.nl/2022/12/23/cabinet-appeal-refugee-family-reunification-court-decisions,Cabinet to appeal against refugee family reunification court decisions,"The Cabinet is appealing to the Council of State against judgments by courts that recently put an end to the restriction placed on the family members of refugee status holders making it more difficult to travel to the Netherlands. The Cabinet decided on this measure at the end of August. With the appeal, the Cabinet wants a final decision on whether or not the scheme is legally tenable.This month, several courts ruled in five cases to allow people recognized refugees to bring their family members to the Netherlands. The refugees in those cases include a Syrian woman, a Turkish man and an Iraqi woman. Each and every one of the court rulings stated that the government measure to limit the family reunification of refugees is illegal. According to the judges, the regulation is in violation of both national and international treaties, including the European Convention on Human RightsAfter the first ruling at the beginning of December, State Secretary Eric Van der Burg, who is responsible for the policy, maintained the restriction on travel in connection with family members of recognized refugees. He said the preliminary relief judge had not ruled on the family reunification order as a whole, but on a specific case.After a verdict handed down Thursday, Van der Burg said that he would not rule out an appeal to the Council of State. After studying the five judgments published this month, the Cabinet decided on Friday to appeal to the Council of State in order to obtain clarity from the highest administrative court about the restriction on travel in connection with family reunification.The restriction on family reunification applies to family members of people who are already in the Netherlands. The Cabinet decided at the end of August that a visa will be issued up to fifteen months after the application for family reunification has been submitted.However, if the status holder manages to secure a home for his or her relatives traveling in the Netherlands, the visa may be issued earlier. The measure applies up to and including 2023 and, according to the Cabinet, is necessary to relieve the pressure on the overburdened asylum reception system.",23 December 2022 - 18:11,Politics
122,https://nltimes.nl/2022/12/23/netherlands-earmark-eu25-billion-support-ukraine-2023,Netherlands to earmark €2.5 billion to support Ukraine in 2023,"The Cabinet will reserve 2.5 billion euros in support for Ukraine next year. Prime Minister Mark Rutte made the announcement on Friday after a telephone call with Ukraine President Volodimir Zelenskyy. It is not yet known exactly what the money will be spent on, which will be determined by the needs of the government in Kyiv.""The government expects that this amount will be necessary to provide military aid, support essential repair and reconstruction activities and contribute financially to efforts to combat impunity,"" the Cabinet said in a statement on Friday. ""The Dutch government’s decision to earmark funding nowsends a clear message of undiminished solidarity with the people of Ukraine, who can count on predictable Dutch support for as long as it takes.""The Netherlands has supported Ukraine since the start of the war, in diplomatic, humanitarian and military terms. Almost a billion euros in military aid has been sent this year. This included armored howitzers, anti-aircraft missiles, munitions and radar equipment. In the beginning a large amount came from the existing supply of the Dutch military, but now the Netherlands is also buying weapons and other equipment for Ukraine directly from manufacturers.Dutch soldiers are also training the Ukrainian armed forces. This is happening, for example, in the United Kingdom. Military equipment belonging to the Ukrainians is also being maintained by the Netherlands. Much of this is carried out in collaboration with other European countries.To help the country through the winter, the Cabinet previously announced that it would allocate 180 million euros. The money is intended refurbishing the power network, and other needs. The electricity grid has been constantly under fire from the Russians.Ukraine has been fighting the Russian army for more than ten months. Russia invaded its neighboring country on February 24. After initial successes, the Russians soon had to pull back. First the Russians retreated around Kyiv, and later they were expelled from parts of eastern and southern Ukraine.​",23 December 2022 - 13:05,Politics
124,https://nltimes.nl/2022/12/23/supermarkets-open-christmas-holidays,More supermarkets open again during Christmas holidays,"This story was updated to include corrected data.More supermarkets in the Netherlands will be open on Christmas Day and Boxing Day than in previous years. About 43 percent of supermarkets will be open on Christmas Day this year, and 87 percent on Boxing Day, according to an analysis by ANP based on figures from Openingstijden.nl. Six years ago, only 20 percent of supermarkets were open on Christmas Day.In Amsterdam shoppers can visit 150 supermarkets on December 25, which amounts to about 81 percent of the supermarkets in the capital. In The Hague, 69 supermarkets are open, about 83 percent of the total. In Alkmaar (82 percent), Leiden (81 percent) and Almere (87 percent), relatively many supermarkets are also open on December 25.Considerably more supermarkets will be open on Boxing Day, with about nine out of ten having opening hours. That is more than last year, when it was still eight out of ten supermarkets.Whether the supermarkets are open somewhat depends on the grocery store chain. Dirk van den Broek will keep the most supermarket open, with about 72 percent of its stores are open. DekaMarkt (70 percent), Plus (68) and Jan Linders (64) follow next. The chain NettoRama will be closed almost everywhere except for one store, and Aldi and Lidl are closed almost everywhere on Christmas Day.Openingstijden.nl scans the websites of thousands of retailers every week to collect the most complete overview possible of opening days and times.",23 December 2022 - 12:20,Business
126,https://nltimes.nl/2022/12/23/suspect-brazen-amsterdam-armored-truck-robbery-arrested-guinea,Suspect in brazen Amsterdam armored truck robbery arrested in Guinea,"A Belgian man was arrested last week in the capital of the Republic of Guinea who is suspected of involvement in the violent robbery of a secured armored truck transport at Schöne Edelmetaal in Amsterdam-Noord last year. The precious metal robber took place on May 19, 2021.A spokesperson for the Public Prosecution Service in Amsterdam confirmed the arrest on Friday after reporting by Flemish media outlets.The 27-year-old suspect, Ibrahim A., was living in hiding in the African country because of he was the target of an international manhunt. A. still has to serve a 21-year prison sentence in Belgium for convictions in a series of robberies. He managed to escape from the Saint-Gilles prison in March 2020.The robbery in Amsterdam-Noord led to a Wild West pursuit with the police who responded to the robbery en masse. That largely ended in Broek in Waterland, a village north of Amsterdam. In a shootout, the police shot and killed one of the robbers in a pasture.In November, the Public Prosecution Service demanded eighteen years in prison against seven of the suspects. The OM demanded five years in prison against an eighth suspect, who was accused of playing a significantly smaller role.",23 December 2022 - 11:30,Crime
128,https://nltimes.nl/2022/12/23/nos-sport-staff-reported-sexual-misconduct-harassment-15-years-avail-report,"NOS Sport staff reported sexual misconduct, harassment for 15 years to no avail: Report","Employees of NOS Studio Sport have consistently reported unacceptable behavior in the workplace for fifteen years, but with no action taken. This became clear during a staff meeting organized by NOS Sport last Friday, according to the Volkskrant.Employees raised red flags about ""sexual misconduct, intimidation and harassment,"" the newspaper said. However, they claimed the reports were not acted upon with enough seriousness, several sources present at the staff meeting told the newspaper.The spokesperson for NOS Sport announced on Thursday evening that he was not willing to respond to the article published in the Volkskrant. He did say that the external handling of an investigation into the situation started this week. ""Given the confidentiality of this subject and because we don't want to get in the way of the process, we can't go into detail on this at the moment.""The NPO, which oversees all public broadcasting, announced on Thursday evening that it would respond to the publication later on Friday.MORES, which operates a hotline for people in the Dutch cultural and creative center to report misconduct and transgressive behavior, said that NOS Sport has not yet asked them for help or advice on the matter. There is a code of conduct at the NOS that describes workplace manners, and confidential advisers have been active there since 2000, both internally and externally.Managers also follow training courses on this theme throughout the NOS.",23 December 2022 - 10:40,Crime
129,https://nltimes.nl/2022/12/23/nos-sport-staff-reported-sexual-misconduct-harassment-15-years-avail-report,"NOS Sport staff reported sexual misconduct, harassment for 15 years to no avail: Report","Employees of NOS Studio Sport have consistently reported unacceptable behavior in the workplace for fifteen years, but with no action taken. This became clear during a staff meeting organized by NOS Sport last Friday, according to the Volkskrant.Employees raised red flags about ""sexual misconduct, intimidation and harassment,"" the newspaper said. However, they claimed the reports were not acted upon with enough seriousness, several sources present at the staff meeting told the newspaper.The spokesperson for NOS Sport announced on Thursday evening that he was not willing to respond to the article published in the Volkskrant. He did say that the external handling of an investigation into the situation started this week. ""Given the confidentiality of this subject and because we don't want to get in the way of the process, we can't go into detail on this at the moment.""The NPO, which oversees all public broadcasting, announced on Thursday evening that it would respond to the publication later on Friday.MORES, which operates a hotline for people in the Dutch cultural and creative center to report misconduct and transgressive behavior, said that NOS Sport has not yet asked them for help or advice on the matter. There is a code of conduct at the NOS that describes workplace manners, and confidential advisers have been active there since 2000, both internally and externally.Managers also follow training courses on this theme throughout the NOS.",23 December 2022 - 10:40,Culture
